고유번호,제품이름,브랜드,제조사,카테고리,성분공개,자가검사번호,기타허가인증여부,친환경인증여부,해외인증여부,조회수,평점수,총평점,위험포함,독성포함,주의포함
1,베지터블 홈 고농축 세탁세제,(주)홈케어,㈜제너럴바이오,세탁세제,△,F-A02B-N001002-A160,,"지역 환경오염 감소, 유해물질 감소",,0,0,0,1,0,1
2,베지터블 홈 고농축 주방세제,(주)홈케어,㈜제너럴바이오,주방세제,O,,,"자원순환성 향상, 지역 환경오염 감소",,0,0,0,0,0,1
3,ALL PURPOSE CLEANER(올 퍼포즈 클리너),Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
4,CLEANING WIPES,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
5,DRYER SHEETS 라벤더향,Better Life,BETTER LIFE,섬유유연제,O,,,,,0,0,0,1,0,1
6,DRYER SHEETS 무향,Better Life,BETTER LIFE,섬유유연제,O,,,,,0,0,0,1,0,0
7,FLOOR CLEANER(바닥클리너),Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
8,GRANITE AND STONE CLEANER,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
9,KITCHEN AND BATH SCRUBBER,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
10,LAUNDRY DETERGENT LAVENDER GRAPEFRUIT(세탁세제 라벤더향),Better Life,BETTER LIFE,세탁세제,O,,,,,0,0,0,0,0,1
11,NURSERY CLEANER(널서리 클리너),Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
12,STAIN AND ODOR ELIMINATOR,Better Life,BETTER LIFE,세탁세제,O,,,,,0,0,0,1,1,1
13,STAINLESS STEEL POLISH,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
14,TOILET BOWL CLEANER,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,0,0,1
15,WOOD POLISH,Better Life,BETTER LIFE,기타세정제,O,,,,,0,0,0,1,1,1
16,내추럴 주방세제 레몬민트향,Better Life,BETTER LIFE,주방세제,O,,,,,0,0,0,0,0,1
17,내추럴 주방세제 무향,Better Life,BETTER LIFE,주방세제,O,,,,,0,0,0,0,0,0
18,Bisol 드릴펑,Bisol,㈜피죤,기타세정제,X,E-A01A-J001004-A150,,,,0,0,0,0,0,0
19,Bisol 무균무때 욕실용,Bisol,㈜피죤,기타세정제,X,E-A01B-J001001-A150,,,,0,0,0,0,0,0
20,Bisol 무균무때 주방용,Bisol,㈜피죤,기타세정제,X,E-A01B-J001002-A150,,,,0,0,0,0,0,0
21,Bisol 무균무때 프리미엄,Bisol,㈜피죤,기타세정제,X,E-A01B-J001003-A15,,,,0,0,0,0,0,0
22,CJ프레시웨이 하이파워,CJ프레시웨이,㈜자연,세탁세제,X,F-A02B-H024001-A160,,,,0,0,0,0,0,0
23,Ecos 4X 컨센트레이트 세탁세제 무향,ECOS,Earth Friendly Products,세탁세제,O,,,,,0,0,0,1,1,1
24,Ecos 디쉬메이트 주방세제 라벤더,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
25,Ecos 디쉬메이트 주방세제 무향,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,0,0,1
26,Ecos 디쉬메이트 주방세제 밤부 앤 레몬,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
27,Ecos 디쉬메이트 주방세제 배향,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
28,Ecos 디쉬메이트 주방세제 살구,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
29,Ecos 디쉬메이트 주방세제 아몬드,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
30,Ecos 디쉬메이트 주방세제 자몽,ECOS,Earth Friendly Products,주방세제,O,,,,,0,0,0,1,0,1
